"method1" "method2"
1654.429 4042.23723333333
9881.941 10786.8695
6087.716 6569.41653333333
4852.087 5441.7418
6902.401 3765.5688
1352.42 2351.86223333333
5689.736 39255.9307333333
1916.566 3024.1995
5142.303 4715.82733333333
2489.536 2115.86216666667
748.2987 364.4561
718.9315 2064.7273
4827.89 3046.6362
497.8473 360.9469
1068.285 2587.82353333333
1032.06 1091.47403333333
1372.597 2968.56753333333
1025.541 890.853466666667
965.6418 713.9234
1397.114 1431.2106
1932.695 1642.86973333333
1047.273 2509.2633
667.7569 1935.81583333333
2158.579 4072.70326666667
598.4122 1496.99533333333
734.1276 552.703966666667
1004.065 1058.4856
1078.295 217.6905
2990.327 1664.26526666667
1617.179 3231.0284
1928.143 3586.4816
4661.953 6043.33403333333
2922.718 1054.1212
723.4009 746.196533333333
604.013 957.4272
2154.613 2370.499
3120.764 32225.8425666667
3141.947 2985.8598
3251.816 3684.82823333333
1891.016 1056.84176666667
1378.844 3802.71
722.2614 1604.96216666667
1045.134 2523.4089
14270.16 8972.3598
1529.504 311.9795
1209.276 1076.2281
3889.75 2220.85503333333
9261.871 964.030400000001
6784.915 8436.0442
3262.65 2751.45686666667
2543.74 3700.98656666667
2684.898 4593.65956666667
3890.069 4330.99963333333
2263.613 2625.55203333333
343.5593 978.460766666667
1208.581 4859.41523333333
9061.685 7446.45056666667
4087.615 5247.02583333333
2777.478 3811.04816666667
2792.338 1549.86243333333
1380.431 1919.37836666667
3376.493 3193.7834
1139.014 3428.5333
1012.475 3868.5636
1818.441 1752.0356
739.5942 916.648133333333
3246.962 6663.52986666666
5188.446 10128.0278
3277.109 3034.82706666667
1010.241 2166.01793333333
15614.63 11775.7235666667
4789.509 5293.34463333333
2094.858 1867.782
627.3786 558.021433333333
719.7089 466.5126
3423.206 3994.22683333333
2066.019 2770.26956666667
1418.469 1840.2713
2090.978 2145.13716666667
2930.256 2290.6695
1150.479 861.2654
3749.961 7289.8588
1843.673 1131.09676666667
570.6727 395.8824
1363.666 996.186033333333
5471.972 5494.78643333333
45486.3 46964.9650333333
832.9835 1862.87686666667
1078.82 2808.7606
44886.31 75427.6978666667
3308.488 3657.9309
2012.989 2187.95453333333
1605.732 645.380233333333
2595.097 1367.77996666667
2092.882 3869.90953333333
1808.884 3969.5824
3428.025 3239.49146666667
1444.842 2904.80533333333
1728.687 1846.15596666667
2108.274 1455.80583333333
1817.584 6399.16393333333
713.688 2065.81306666667
345.8621 1513.6841
2721.1 3450.165
1169.969 2720.289
768.4366 2089.43303333333
3122.904 2730.6555
719.1707 1690.49876666667
787.7759 642.774166666667
3447.907 2017.85056666667
3250.92 4733.78046666667
3280.247 3668.14256666667
3262.757 4383.7802
31052.38 28977.463
1135.51 4410.50386666667
1088.422 2753.2285
2488.347 2390.12726666667
2123.415 3776.14386666667
2163.913 3355.402
2782.847 2592.58883333333
1893.864 3476.1644
700.9934 2472.07896666667
3351.504 5044.42566666667
893.5569 232.323466666667
5431.824 5167.29743333333
1050.27 2311.90723333333
2513.645 2768.77336666667
1279.01 2966.92326666667
8470.514 15026.5644333333
937.8835 1543.63716666667
813.8484 1250.5718
2918.772 17202.8635666667
3034.897 6533.50056666667
1783.718 2103.82323333333
792.3438 2072.81683333333
2036.898 4865.54803333333
1146.356 3069.2806
1654.54 2141.93626666667
1497.453 3080.50723333333
24647.2 12138.4833333333
796.8282 343.316866666667
3620.076 10234.0732
2192.465 933.4454
1642.659 3326.43503333333
2346.299 1270.72896666667
984.8672 2221.8438
1741.031 3016.9557
50623.58 73502.2337333333
4588.124 7412.3192
2364.363 3937.46256666667
998.3512 1099.08963333333
3484.292 5254.6696
679.7454 1604.12346666667
3962.128 5216.5622
680.9733 1194.09103333333
2485.742 3844.3532
1157.123 3234.727
3197.092 5447.84653333334
2078.638 2408.67036666667
2541.645 3339.1618
1351.829 2662.52046666667
1172.216 1748.75216666667
857.2581 3705.83593333333
1302.863 2506.42853333334
4029.818 5915.67386666667
1680.198 2167.1307
2665.816 3837.86636666666
1793.174 686.503433333333
4767.256 5046.92273333333
1509.684 2921.52303333333
3065.35 4184.3779
1504.303 1353.81683333333
16566.09 13254.3551333333
1893.401 3618.3427
425.6383 621.263066666667
3225.898 4603.50896666667
2268.468 4902.8028
3636.308 7681.4599
1376.855 2666.34086666667
2564.122 3227.59826666667
4447.849 3624.76573333333
13756.55 13773.0100666667
1835.869 1011.21766666667
3380.505 4567.2334
813.0182 1673.79376666667
1839.727 2769.80293333333
5025.811 6521.1768
2216.083 2078.6816
428.1011 320.6103
2203.803 1252.01776666667
2276.412 2987.4412
2297.455 1873.42056666667
3219.039 2207.7228
3296.82 2466.85403333333
1425.587 2203.41553333333
888.8732 2569.0535
1263.09 658.7114
4155.953 4233.49726666667
1260.997 2797.1973
1907.91 2240.329
1127.764 4411.55426666667
778.7214 1624.31326666667
3374.512 6660.03573333333
5363.126 2970.87393333333
3321.546 5020.55626666667
2034.108 6854.05183333333
2104.608 468.8007
872.0364 889.959333333334
43910.9 48678.0568333334
2134.669 1849.98116666667
3475.057 5334.061
3419.539 2988.88816666667
1035.009 2057.0194
3466.119 2511.77213333333
3810.569 3292.42856666667
1719.847 2463.00513333333
787.4296 2199.06273333333
1130.767 1371.233
6620.293 37640.7723666666
649.8911 1207.96013333333
9000.131 6655.67903333333
34172.93 26924.6542333333
1330.046 2220.4052
1498.318 1348.4921
3544.384 4691.95076666667
10804.95 5627.14723333333
4057.949 3428.40426666667
1079.492 2036.5758
2132.628 3614.29303333333
21524.28 39499.6020333333
483.5237 1238.8889
48523.09 55631.577
1919.078 2057.5768
1685.881 5810.38596666667
871.0569 6346.6938
1168.538 2158.79523333333
1219.591 2926.6457
3889.773 4995.669
2206.698 1873.17323333333
1304.226 1948.38013333333
1762.474 2965.1728
1633.701 2323.75786666667
